round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.8251,1.0571898323059081,0.0002612000098451972,1.2399978004395962e-05,224.24664359999588,0.02191609999863431,0.01138330000685528,0.01597040001070127,236.0735783999553,11.207011804994545,20,0,20,16219040,3243808,810952,20273800,31.532904221944534,True,0.0,0
1,0.9161,0.29953355243206026,0.00038889999268576503,1.5099998563528061e-05,225.35499490000075,0.02043750003213063,0.01344559999415651,0.015347500040661544,237.26287560001947,11.262467340004514,20,0,20,16219040,3243808,810952,20273800,23.092834123669114,True,0.0,0
2,0.9452,0.17859494046568872,0.0004284000024199486,1.769996015354991e-05,136.16080630000215,0.007670800026971847,0.004258600005414337,0.007518000027630478,140.06637379998574,6.804218660001061,20,0,20,16219040,3243808,810952,20273800,14.363082882088413,True,0.0,0
3,0.9562,0.13532622699439525,0.0001330000231973827,5.600042641162872e-06,165.26453619997483,0.025377600046340376,0.013527600036468357,0.016696600010618567,177.63860430003842,8.258962620008969,20,0,20,16219040,3243808,810952,20273800,11.004445397271347,True,0.0,0
4,0.9671,0.10808290081471204,0.0003980000037699938,1.1999974958598614e-05,209.95579779997934,0.021346100023947656,0.012049999961163849,0.014490000030491501,222.26048330002232,10.492489114991622,20,0,20,16219040,3243808,810952,20273800,9.268660490428012,True,0.0,0
5,0.9718,0.08979727542102336,0.00016569998115301132,5.499983672052622e-06,221.90285169996787,0.028183699992951006,0.012257599970325828,0.01342329999897629,232.76429749996169,11.08950829000678,20,0,20,16219040,3243808,810952,20273800,7.674268350769254,True,0.0,0
6,0.9733,0.07903349359817803,0.00037319998955354095,1.2300035450607538e-05,208.79731270001503,0.021794699947349727,0.01227070001186803,0.012090900039765984,219.89900559996022,10.434568304996356,20,0,20,16219040,3243808,810952,20273800,6.753449964747619,True,0.0,0
7,0.9768,0.06985430151764303,0.0003698999644257128,1.2999982573091984e-05,202.4370679000276,0.023436999996192753,0.012701000028755516,0.013890500005800277,213.6586021000403,10.116853275001631,20,0,20,16219040,3243808,810952,20273800,6.082429987299501,True,0.0,0
8,0.978,0.06378773195715622,0.00026599998818710446,1.1500029359012842e-05,200.33302379999077,0.02408070000819862,0.013707600010093302,0.013842899992596358,211.80929969996214,10.011636600006023,20,0,20,16219040,3243808,810952,20273800,5.3158794578862745,True,0.0,0
9,0.9803,0.058318253162410114,0.0002470000181347132,1.079996582120657e-05,1450.3727295999997,0.024690599995665252,0.012992899981327355,0.012012000021059066,1460.9678113000118,72.51313848501304,20,0,20,16219040,3243808,810952,20273800,4.863500514179389,True,0.0,0
10,0.9817,0.054114348795125264,0.00012179999612271786,4.100031219422817e-06,200.6026752999751,0.025574600032996386,0.013912000053096563,0.01317729998845607,211.23847260000184,10.02514364499657,20,0,20,16219040,3243808,810952,20273800,4.470237321861945,True,0.0,0
11,0.9834,0.0498790761991404,0.0002510999911464751,1.1999974958598614e-05,161.6768256999785,0.00755470001604408,0.004264599992893636,0.005191999953240156,164.74423059995752,8.081932929996402,20,0,20,16219040,3243808,810952,20273800,4.110849905619813,True,0.0,0
12,0.9838,0.04789292759248055,9.889999637380242e-05,4.099973011761904e-06,73.350219200016,0.009138599969446659,0.004255299980286509,0.005325699981767684,77.59949620004045,3.665524474994163,20,0,20,16219040,3243808,810952,20273800,3.8292231704548287,True,0.0,0
13,0.9836,0.047885806887294165,0.00015789997996762395,8.500006515532732e-06,68.6850333000184,0.00646419997792691,0.004576199979055673,0.005830499983858317,72.05548809998436,3.4320705350051868,20,0,20,16219040,3243808,810952,20273800,3.6113146568409396,True,0.0,0
14,0.985,0.044316541103436614,0.00010919995838776231,4.100031219422817e-06,67.86362759995973,0.009386700054164976,0.004324600042309612,0.004927299974951893,72.51246940001147,3.3913166000100317,20,0,20,16219040,3243808,810952,20273800,3.4533802507054676,True,0.0,0
