round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.0911,2.3024323432922364,8.640001760795712e-05,5.667270999983884,44.73024659999646,1.507404799980577,0.0019782999879680574,0.07804340001894161,54.49913489999017,2.481532583333319,20,2,18,14597136,3243808,810952,18651896,32.94230882645392,True,0.0,32
1,0.0911,2.3024323432922364,9.419996058568358e-05,5.53616250003688,42.22141790000023,1.532050799985882,0.002387500018812716,0.005336299946065992,51.768747800029814,2.3423911611090364,20,2,18,14597136,3243808,810952,18651896,33.040653649899305,True,0.0,32
2,0.0911,2.3024323432922364,9.809999028220773e-05,5.557708200009074,42.06073520000791,1.3974176000338048,0.002504299976862967,0.005903899960685521,51.45556889998261,2.3334863944522417,20,2,18,14597136,3243808,810952,18651896,33.931394137246,True,0.0,32
3,0.0911,2.3024323432922364,0.00010689999908208847,5.487051300005987,43.80926790001104,2.03048110002419,0.003953300009015948,0.007763400033582002,54.38347939995583,2.4301679777886926,20,2,18,14597136,3243808,810952,18651896,34.52364661949077,True,0.0,32
4,0.0911,2.3024323432922364,0.00013129995204508305,8.246227300027385,44.071555399976205,1.424524600035511,0.002695399976801127,0.005287899984978139,56.02409379999153,2.444955805565567,20,2,18,14597136,3243808,810952,18651896,33.46643754270518,True,0.0,32
5,0.0911,2.3024323432922364,9.510002564638853e-05,5.191119299968705,38.93889079999644,1.4103232999914326,0.002644499996677041,0.005471200041938573,47.84447229997022,2.159820422229435,20,2,18,14597136,3243808,810952,18651896,33.00914596956727,True,0.0,32
6,0.0911,2.3024323432922364,0.00011170003563165665,5.104416699963622,40.17302960000234,1.292430699977558,0.0027569999801926315,0.007066000020131469,48.86091240000678,2.2285885000019334,20,2,18,14597136,3243808,810952,18651896,33.22188227923719,True,0.0,32
7,0.0911,2.3024323432922364,0.0001824999926611781,5.188865999982227,40.323996099992655,1.4558326000114903,0.002688199980184436,0.006577300024218857,49.262940699991304,2.236757761116476,20,2,18,14597136,3243808,810952,18651896,33.10771877715637,True,0.0,32
8,0.0911,2.3024323432922364,9.019998833537102e-05,5.193562300002668,38.21307729999535,1.3932809000252746,0.002381899976171553,0.005703200004063547,47.06686299998546,2.1197933611078446,20,2,18,14597136,3243808,810952,18651896,32.302805283119554,True,0.0,32
9,0.0911,2.3024323432922364,9.729998419061303e-05,5.068465000018477,38.525393399992026,1.2953225000528619,0.0022593000321649015,0.005427399999462068,47.20404669997515,2.137169638891161,20,2,18,14597136,3243808,810952,18651896,32.54577238521176,True,0.0,32
10,0.0911,2.3024323432922364,0.00010730000212788582,5.1449403000297025,39.58610030001728,1.2771597999962978,0.0023603999870829284,0.005920300027355552,48.34380679996684,2.1961208055565495,20,2,18,14597136,3243808,810952,18651896,32.91940015423611,True,0.0,32
11,0.0911,2.3024323432922364,0.00012740003876388073,5.1062450999743305,38.553898100042716,1.280153399973642,0.0022969000274315476,0.006069499999284744,47.18435649998719,2.1386071111062646,20,2,18,14597136,3243808,810952,18651896,32.668496721908085,True,0.0,32
12,0.0911,2.3024323432922364,9.789998875930905e-05,5.068727100035176,39.3995150999981,1.3901647999882698,0.002339300001040101,0.005267200001981109,48.09568269998999,2.185769227776392,20,2,18,14597136,3243808,810952,18651896,33.042864942809075,True,0.0,32
13,0.0911,2.3024323432922364,0.00010569998994469643,5.2208345999824814,40.9177936000051,1.3277954999939539,0.0023660000297240913,0.004974800045602024,49.82105580001371,2.270087283331021,20,2,18,14597136,3243808,810952,18651896,33.075218787056684,True,0.0,32
14,0.0911,2.3024323432922364,0.00010010000551119447,5.127514099993277,39.725639100011904,1.3975769000244327,0.00252909999107942,0.005591799970716238,48.68348349997541,2.2038608555578523,20,2,18,14597136,3243808,810952,18651896,33.28629468034002,True,0.0,32
