round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.1234,7.530911262512207,7.670000195503235e-05,5.550514300004579,42.33213469997281,1.3893410000018775,0.001871999993454665,0.0073241000063717365,51.52639479999198,2.3485717611167476,20,2,18,14597136,3243808,810952,18651896,28.63752001514694,True,0.0,0
1,0.2436,4.761203043365478,8.909997995942831e-05,5.096728200034704,38.9730005999445,1.4083010999602266,0.0023673000396229327,0.007124299998395145,47.711546000035014,2.1620320722092097,20,2,18,14597136,3243808,810952,18651896,21.95096901128726,True,0.0,0
2,0.4689,4.26100617980957,0.00010579999070614576,5.2148786000325345,55.22944310004823,1.353520100004971,0.0023351999698206782,0.007098800037056208,64.88072109996574,3.0648807555521165,20,2,18,14597136,3243808,810952,18651896,18.975241071357956,True,0.0,0
3,0.3947,5.555030353546143,0.00011080002877861261,5.506174699985422,53.61403539997991,1.2861195000004955,0.0022672999766655266,0.006740199984051287,62.65603439998813,2.9752479055540686,20,2,18,14597136,3243808,810952,18651896,19.703437824604137,True,0.0,0
4,0.6231,2.9323788913726805,0.00010279996786266565,5.070640399993863,38.912020899995696,1.3753766999579966,0.002306800044607371,0.007297899981494993,47.653040100005455,2.158656544443349,20,2,18,14597136,3243808,810952,18651896,18.909062180759435,True,0.0,0
5,0.4756,6.277438807678223,0.0001221999991685152,5.094191299984232,37.232268600026146,1.3838786000269465,0.002290199976414442,0.006931800046004355,45.92171279998729,2.0652508833219247,20,2,18,14597136,3243808,810952,18651896,16.728138997291666,True,0.0,0
6,0.5208,5.412499469375611,8.289999095723033e-05,5.028584200015757,39.1960403000121,1.3093916000216268,0.0022695999941788614,0.006472599983680993,47.82463849999476,2.1743268611090674,20,2,18,14597136,3243808,810952,18651896,17.620504228801074,True,0.0,0
7,0.5669,5.781032346725464,0.00010539998766034842,5.0933954999782145,38.55394680000609,1.3915185000514612,0.004219900001771748,0.014865299977827817,47.352733100007754,2.1387901777763747,20,2,18,14597136,3243808,810952,18651896,18.143704486030384,True,0.0,0
8,0.6262,4.2055755191802975,0.00011849997099488974,5.136090900050476,46.971968700003345,1.3894998999894597,0.002487699966877699,0.006817399989813566,55.69297879998339,2.6062960888860593,20,2,18,14597136,3243808,810952,18651896,16.66602271945316,True,0.0,0
9,0.6324,4.77008390045166,0.00010859995381906629,5.055087900022045,37.925096399965696,1.3002031999640167,0.002313199976924807,0.006983900035265833,46.50615660002222,2.103826133337053,20,2,18,14597136,3243808,810952,18651896,17.548991504069395,True,0.0,0
10,0.4907,7.386147163391113,0.000109999964479357,5.060538000019733,38.339944200008176,1.2929933000123128,0.0022594999754801393,0.006407200009562075,46.879530400037766,2.126748333348789,20,2,18,14597136,3243808,810952,18651896,17.508954583924666,True,0.0,0
11,0.5177,9.848423036193848,0.00010149995796382427,5.092548200045712,37.576890200027265,1.2879250000114553,0.0024083000025711954,0.007845500018447638,46.23361140000634,2.0844131666623675,20,2,18,14597136,3243808,810952,18651896,17.767848978116668,True,0.0,0
12,0.4839,9.692248223876954,9.560002945363522e-05,5.0767093999893405,38.2078627999872,1.3636310000438243,0.0022947000106796622,0.006648199982009828,46.87832779996097,2.119626827770844,20,2,18,14597136,3243808,810952,18651896,18.65945421632506,True,0.0,0
13,0.6515,4.439058278656006,0.00010599999222904444,5.065607800032012,38.67918729997473,1.2778057000250556,0.0022387999924831092,0.007152299978770316,47.235999599972274,2.1457246777782633,20,2,18,14597136,3243808,810952,18651896,17.398082502360634,True,0.0,0
14,0.604,5.724751293563843,8.709996473044157e-05,5.0916088000521995,38.364087000023574,1.334747700020671,0.002342300023883581,0.015610400005243719,46.979815700033214,2.1282440333290853,20,2,18,14597136,3243808,810952,18651896,17.04727363123107,True,0.0,0
